date,lower,projected,upper
2020-02-13,,,
2020-02-14,,,
2020-02-15,,,
2020-02-16,,,
2020-02-17,,,
2020-02-18,,,
2020-02-19,,,
2020-02-20,,,
2020-02-21,,,
2020-02-22,,,
2020-02-23,,,
2020-02-24,,,
2020-02-25,,,
2020-02-26,,,
2020-02-27,,,
2020-02-28,,,
2020-02-29,,,
2020-03-01,,,
2020-03-02,,,
2020-03-03,,,
2020-03-04,,,
2020-03-05,,,
2020-03-06,,,
2020-03-07,,,
2020-03-08,,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,,,
2020-06-27,,,
2020-06-28,,,
2020-06-29,,,
2020-06-30,,,
2020-07-01,,,
2020-07-02,,,
2020-07-03,,,
2020-07-04,,,
2020-07-05,,,
2020-07-06,,,
2020-07-07,,,
2020-07-08,,,
2020-07-09,,,
2020-07-10,,,
2020-07-11,,,
2020-07-12,,,
2020-07-13,,,
2020-07-14,,,
2020-07-15,,,
2020-07-16,,,
2020-07-17,58.0,98.0,137.0
2020-07-18,59.0,101.0,142.0
2020-07-19,59.0,104.0,148.0
2020-07-20,60.0,107.0,154.0
2020-07-21,61.0,111.0,160.0
2020-07-22,61.0,114.0,167.0
2020-07-23,62.0,117.0,175.0
2020-07-24,62.0,121.0,183.0
2020-07-25,62.0,124.0,192.0
2020-07-26,63.0,127.0,200.0
2020-07-27,63.0,130.0,207.0
2020-07-28,63.0,133.0,215.0
2020-07-29,62.0,135.0,221.0
2020-07-30,62.0,138.0,229.0
2020-07-31,62.0,140.0,235.0
2020-08-01,61.0,142.0,241.0
2020-08-02,61.0,144.0,249.0
2020-08-03,60.0,145.0,258.0
2020-08-04,60.0,147.0,265.0
2020-08-05,59.0,148.0,272.0
2020-08-06,59.0,149.0,280.0
2020-08-07,58.0,150.0,289.0
2020-08-08,58.0,151.0,298.0
2020-08-09,57.0,151.0,304.0
2020-08-10,57.0,151.0,309.0
2020-08-11,56.0,152.0,314.0
2020-08-12,56.0,152.0,320.0
2020-08-13,55.0,151.0,326.0
2020-08-14,55.0,151.0,333.0
2020-08-15,54.0,151.0,341.0
2020-08-16,54.0,150.0,347.0
2020-08-17,53.0,149.0,353.0
2020-08-18,53.0,148.0,359.0
2020-08-19,52.0,147.0,365.0
2020-08-20,52.0,146.0,368.0
2020-08-21,51.0,145.0,369.0
2020-08-22,51.0,144.0,376.0
2020-08-23,50.0,142.0,378.0
2020-08-24,50.0,140.0,382.0
2020-08-25,49.0,139.0,385.0
2020-08-26,49.0,137.0,388.0
2020-08-27,48.0,135.0,389.0
2020-08-28,47.0,133.0,389.0
2020-08-29,47.0,131.0,386.0
2020-08-30,46.0,129.0,383.0
2020-08-31,46.0,127.0,379.0
