date,lower,projected,upper
2020-02-13,,,
2020-02-14,,,
2020-02-15,,,
2020-02-16,,,
2020-02-17,,,
2020-02-18,,,
2020-02-19,,,
2020-02-20,,,
2020-02-21,,,
2020-02-22,,,
2020-02-23,,,
2020-02-24,,,
2020-02-25,,,
2020-02-26,,,
2020-02-27,,,
2020-02-28,,,
2020-02-29,,,
2020-03-01,,,
2020-03-02,,,
2020-03-03,,,
2020-03-04,,,
2020-03-05,,,
2020-03-06,,,
2020-03-07,,,
2020-03-08,,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,,,
2020-06-27,,,
2020-06-28,,,
2020-06-29,,,
2020-06-30,,,
2020-07-01,,,
2020-07-02,,,
2020-07-03,,,
2020-07-04,,,
2020-07-05,,,
2020-07-06,,,
2020-07-07,,,
2020-07-08,,,
2020-07-09,,,
2020-07-10,,,
2020-07-11,,,
2020-07-12,,,
2020-07-13,,,
2020-07-14,,,
2020-07-15,,,
2020-07-16,,,
2020-07-17,,,
2020-07-18,,,
2020-07-19,,,
2020-07-20,,,
2020-07-21,,,
2020-07-22,,,
2020-07-23,,,
2020-07-24,,,
2020-07-25,,,
2020-07-26,,,
2020-07-27,,,
2020-07-28,,,
2020-07-29,,,
2020-07-30,111.0,149.575536693,213.0
2020-07-31,111.0,150.983224496,219.0
2020-08-01,110.0,152.11122957,224.0
2020-08-02,110.0,152.969164091,228.0
2020-08-03,110.0,153.568614179,232.0
2020-08-04,109.0,153.92273474799998,233.0
2020-08-05,108.0,154.045849574,234.0
2020-08-06,107.0,153.95306212,238.0
2020-08-07,105.0,153.65988716,239.0
2020-08-08,104.0,153.181914289,241.0
2020-08-09,102.0,152.53451379700002,242.0
2020-08-10,101.0,151.732594124,242.0
2020-08-11,99.0,150.790205292,242.0
2020-08-12,97.0,149.720402822,243.0
2020-08-13,96.0,148.535841207,243.0
2020-08-14,94.0,147.248268735,241.0
2020-08-15,92.0,145.868522062,240.0
2020-08-16,89.0,144.406545165,238.0
2020-08-17,87.0,142.871425908,237.0
2020-08-18,85.0,141.271444833,236.0
2020-08-19,83.0,139.614131698,235.0
2020-08-20,81.0,137.906325878,233.0
2020-08-21,79.0,136.15423734700002,230.0
2020-08-22,78.0,134.36350587200002,227.0
2020-08-23,76.0,132.539256895,223.0
2020-08-24,73.0,130.68615319100002,219.0
2020-08-25,71.0,128.80844186,215.0
2020-08-26,69.0,126.90999661200001,211.0
2020-08-27,66.0,124.994355735,208.0
2020-08-28,65.0,123.06475636200001,204.0
2020-08-29,63.0,121.12416559399999,201.0
2020-08-30,61.0,119.175308793,198.0
2020-08-31,59.0,117.22069514100001,195.0
2020-09-01,57.0,115.262640491,192.0
