date,lower,projected,upper
2020-02-13,,,
2020-02-14,,,
2020-02-15,,,
2020-02-16,,,
2020-02-17,,,
2020-02-18,,,
2020-02-19,,,
2020-02-20,,,
2020-02-21,,,
2020-02-22,,,
2020-02-23,,,
2020-02-24,,,
2020-02-25,,,
2020-02-26,,,
2020-02-27,,,
2020-02-28,,,
2020-02-29,,,
2020-03-01,,,
2020-03-02,,,
2020-03-03,,,
2020-03-04,,,
2020-03-05,,,
2020-03-06,,,
2020-03-07,,,
2020-03-08,,,
2020-03-09,,,
2020-03-10,,,
2020-03-11,,,
2020-03-12,,,
2020-03-13,,,
2020-03-14,,,
2020-03-15,,,
2020-03-16,,,
2020-03-17,,,
2020-03-18,,,
2020-03-19,,,
2020-03-20,,,
2020-03-21,,,
2020-03-22,,,
2020-03-23,,,
2020-03-24,,,
2020-03-25,,,
2020-03-26,,,
2020-03-27,,,
2020-03-28,,,
2020-03-29,,,
2020-03-30,,,
2020-03-31,,,
2020-04-01,,,
2020-04-02,,,
2020-04-03,,,
2020-04-04,,,
2020-04-05,,,
2020-04-06,,,
2020-04-07,,,
2020-04-08,,,
2020-04-09,,,
2020-04-10,,,
2020-04-11,,,
2020-04-12,,,
2020-04-13,,,
2020-04-14,,,
2020-04-15,,,
2020-04-16,,,
2020-04-17,,,
2020-04-18,,,
2020-04-19,,,
2020-04-20,,,
2020-04-21,,,
2020-04-22,,,
2020-04-23,,,
2020-04-24,,,
2020-04-25,,,
2020-04-26,,,
2020-04-27,,,
2020-04-28,,,
2020-04-29,,,
2020-04-30,,,
2020-05-01,,,
2020-05-02,,,
2020-05-03,,,
2020-05-04,,,
2020-05-05,,,
2020-05-06,,,
2020-05-07,,,
2020-05-08,,,
2020-05-09,,,
2020-05-10,,,
2020-05-11,,,
2020-05-12,,,
2020-05-13,,,
2020-05-14,,,
2020-05-15,,,
2020-05-16,,,
2020-05-17,,,
2020-05-18,,,
2020-05-19,,,
2020-05-20,,,
2020-05-21,,,
2020-05-22,,,
2020-05-23,,,
2020-05-24,,,
2020-05-25,,,
2020-05-26,,,
2020-05-27,,,
2020-05-28,,,
2020-05-29,,,
2020-05-30,,,
2020-05-31,,,
2020-06-01,,,
2020-06-02,,,
2020-06-03,,,
2020-06-04,,,
2020-06-05,,,
2020-06-06,,,
2020-06-07,,,
2020-06-08,,,
2020-06-09,,,
2020-06-10,,,
2020-06-11,,,
2020-06-12,,,
2020-06-13,,,
2020-06-14,,,
2020-06-15,,,
2020-06-16,,,
2020-06-17,,,
2020-06-18,,,
2020-06-19,,,
2020-06-20,,,
2020-06-21,,,
2020-06-22,,,
2020-06-23,,,
2020-06-24,,,
2020-06-25,,,
2020-06-26,,,
2020-06-27,,,
2020-06-28,,,
2020-06-29,,,
2020-06-30,,,
2020-07-01,,,
2020-07-02,,,
2020-07-03,,,
2020-07-04,,,
2020-07-05,,,
2020-07-06,,,
2020-07-07,,,
2020-07-08,,,
2020-07-09,,,
2020-07-10,,,
2020-07-11,,,
2020-07-12,,,
2020-07-13,,,
2020-07-14,,,
2020-07-15,,,
2020-07-16,,,
2020-07-17,,,
2020-07-18,,,
2020-07-19,,,
2020-07-20,,,
2020-07-21,60.0,110.0,159.0
2020-07-22,62.0,114.0,167.0
2020-07-23,63.0,118.0,174.0
2020-07-24,65.0,123.0,182.0
2020-07-25,66.0,127.0,190.0
2020-07-26,67.0,130.0,198.0
2020-07-27,68.0,134.0,205.0
2020-07-28,69.0,138.0,213.0
2020-07-29,70.0,141.0,221.0
2020-07-30,70.0,145.0,228.0
2020-07-31,70.0,148.0,235.0
2020-08-01,71.0,151.0,243.0
2020-08-02,72.0,154.0,252.0
2020-08-03,72.0,156.0,260.0
2020-08-04,72.0,158.0,267.0
2020-08-05,72.0,160.0,273.0
2020-08-06,72.0,161.0,278.0
2020-08-07,71.0,162.0,283.0
2020-08-08,71.0,163.0,287.0
2020-08-09,70.0,163.0,294.0
2020-08-10,69.0,164.0,300.0
2020-08-11,68.0,164.0,304.0
2020-08-12,67.0,164.0,308.0
2020-08-13,66.0,163.0,311.0
2020-08-14,65.0,163.0,313.0
2020-08-15,64.0,162.0,313.0
2020-08-16,62.0,162.0,313.0
2020-08-17,61.0,161.0,313.0
2020-08-18,60.0,159.0,314.0
2020-08-19,60.0,158.0,318.0
2020-08-20,59.0,157.0,318.0
2020-08-21,59.0,155.0,320.0
2020-08-22,58.0,154.0,320.0
2020-08-23,57.0,152.0,319.0
2020-08-24,56.0,150.0,317.0
2020-08-25,55.0,148.0,315.0
2020-08-26,55.0,146.0,313.0
2020-08-27,54.0,144.0,310.0
2020-08-28,53.0,142.0,306.0
2020-08-29,52.0,139.0,300.0
2020-08-30,51.0,137.0,296.0
2020-08-31,49.0,135.0,291.0
2020-09-01,48.0,132.0,290.0
2020-09-02,47.0,130.0,286.0
